대학명,지역구분,계열구분,학과명,논술점수,100점만점환산,시험구분,대학평균환산점수,합격점수라인의미,메디컬여부,인기학과태그,대학시험별평균점수,최저여부,합격자평균점,70%Cut,최저점_커트라인,수능수학_합격자_중앙값,수능수학_합격자_평균,수능수학_합격자_최빈값,수능수학_합격자_표본수,수능수학_불합격자_중앙값,수능수학_불합격자_평균,수능수학_불합격자_최빈값,수능수학_불합격자_표본수
가천대,수도권,건축/토목계열,건설환경공학과,108.0,72.0,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,공학계열,스마트팩토리학과,108.0,72.0,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,자연과학계열,화학과,108.0,72.0,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,자연과학계열,식품생명공학과,107.0,71.33,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,자연과학계열,생명과학과,107.0,71.33,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,IT/컴퓨터계열,인공지능학과,107.0,71.33,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,AI·컴퓨터,73.27,Y,81.33,78.67,74,,,,,,,,
가천대,수도권,인문사회/기타계열,운동재활학과,107.0,71.33,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,공학계열,시스템반도체학과,107.0,71.33,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,반도체,73.27,Y,,,,,,,,,,,
가천대,수도권,자연과학계열,식품영양학과,106.0,70.67,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,인문사회/기타계열,사회복지학과,105.5,70.33,시험 1,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,75.54,Y,,,,,,,,,,,
가천대,수도권,IT/컴퓨터계열,스마트보안학과,105.0,70.0,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,건축/토목계열,도시계획·조경학부,104.5,69.67,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,공학계열,반도체물리학과,104.0,69.33,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,반도체,73.27,Y,,,,,,,,,,,
가천대,수도권,건축/토목계열,스마트시티학과,104.0,69.33,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,의약보건계열,치위생학과,104.0,69.33,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,의약보건계열,응급구조학과,103.0,68.67,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,의약보건계열,의공학과,102.0,68.0,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
강남대,수도권,인문사회/기타계열,유아교육과,100.0,100.0,시험 1,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,96.34,N,,,,,,,,,,,
강남대,수도권,인문사회/기타계열,글로벌문화콘텐츠대학,99.85,99.85,시험 1,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,96.34,N,,,,,,,,,,,
강남대,수도권,인문사회/기타계열,상경학부,99.84,99.84,시험 1,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,96.34,N,,,,,,,,,,,
강남대,수도권,인문사회/기타계열,복지융합대학,99.81,99.81,시험 1,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,96.34,N,,,,,,,,,,,
강남대,수도권,인문사회/기타계열,법행정세무학부,99.79,99.79,시험 1,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,96.34,N,,,,,,,,,,,
강남대,수도권,인문사회/기타계열,교육학과,99.71,99.71,시험 1,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,96.34,N,,,,,,,,,,,
강남대,수도권,인문사회/기타계열,초등특수교육과,99.0,99.0,시험 1,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,96.34,N,,,,,,,,,,,
강남대,수도권,인문사회/기타계열,중등특수교육과,98.25,98.25,시험 1,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,96.34,N,,,,,,,,,,,
강남대,수도권,인문사회/기타계열,법행정세무학부(야),95.22,95.22,시험 1,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,96.34,N,,,,,,,,,,,
강남대,수도권,인문사회/기타계열,상경학부(야),93.98,93.98,시험 1,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,96.34,N,,,,,,,,,,,
강남대,수도권,자유전공학부,자유전공학부,91.65,91.65,시험 2,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,자유전공,90.94,N,,,,,,,,,,,
강남대,수도권,공학계열,전자반도체공학부,91.27,91.27,시험 2,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,반도체,90.94,N,,,,,,,,,,,
강남대,수도권,IT/컴퓨터계열,컴퓨터공학부,90.63,90.63,시험 2,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,AI·컴퓨터,90.94,N,,,,,,,,,,,
강남대,수도권,IT/컴퓨터계열,인공지능융합공학부,90.23,90.23,시험 2,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,AI·컴퓨터,90.94,N,,,,,,,,,,,
강남대,수도권,건축/토목계열,부동산건설학부,85.64,85.64,시험 1,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,96.34,N,,,,,,,,,,,
강남대,수도권,인문사회/기타계열,사회복지학부(야),84.97,84.97,시험 1,94.99,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,96.34,N,,,,,,,,,,,
경북대,지방,의약보건계열,약학과,230.17,65.76,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),Y,메디컬,36.05,Y,,,,99.0,98.3,100.0,50.0,,,,
경북대,지방,공학계열,전자공학부모바일공학전공,188.3,53.8,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,의약보건계열,간호학과,153.71,43.92,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,간호,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,의약보건계열,치의예과,152.5,43.57,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),Y,메디컬,36.05,Y,93.8,91,88.5,99.0,98.3,100.0,50.0,,,,
경북대,지방,자유전공학부,자율전공학부,146.63,41.89,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,자유전공,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,의약보건계열,의예과,146.0,41.71,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),Y,메디컬,36.05,Y,95.2,92.7,90,99.0,98.3,100.0,50.0,,,,
경북대,지방,의약보건계열,수의예과,143.92,41.12,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),Y,메디컬,36.05,Y,90.4,87.5,84,99.0,98.3,100.0,50.0,,,,
경북대,지방,공학계열,전자공학부,140.0,40.0,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,74.5,70,65.5,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,자연과학계열,지구시스템과학부,138.5,39.57,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,IT/컴퓨터계열,컴퓨터학부(심화컴퓨팅전공),134.69,38.48,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,AI·컴퓨터,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,공학계열,금속재료공학과,134.45,38.41,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,공학계열,신소재공학과,133.17,38.05,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,자연과학계열,자연과학대학 자율학부,133.13,38.04,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,공학계열,기계공학부,131.6,37.6,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,IT/컴퓨터계열,IT 첨단자율학부,129.95,37.13,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,자연과학계열,응용생명과학부,126.63,36.18,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,공학계열,응용화학공학부,125.93,35.98,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,IT/컴퓨터계열,컴퓨터학부(인공지능컴퓨팅전공),125.43,35.84,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,AI·컴퓨터,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,건축/토목계열,토목공학과,122.83,35.09,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,자연과학계열,수학과,122.55,35.01,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,자유전공학부,공과대학 자율학부,120.17,34.33,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,자연과학계열,화학과,119.67,34.19,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,자연과학계열,물리학과,119.35,34.1,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,IT/컴퓨터계열,IT대학 자율학부,118.0,33.71,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,공학계열,에너지공학부,114.67,32.76,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,자연과학계열,수학교육과,114.5,32.71,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,공학계열,전기공학과,113.35,32.39,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,자유전공학부,첨단기술융합대학 자율학부2,112.19,32.05,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,건축/토목계열,건축학부(건축학전공),112.17,32.05,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,자유전공학부,공학 첨단자율학부,110.88,31.68,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,자유전공학부,첨단기술융합대학 자율학부1,108.09,30.88,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,인문사회/기타계열,고분자공학과,104.5,29.86,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,자연과학계열,통계학과,98.36,28.1,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,건축/토목계열,건축학부(건축공학전공),97.25,27.79,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,인문사회/기타계열,섬유시스템공학과,96.05,27.44,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,인문사회/기타계열,환경공학과,95.42,27.26,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,인문사회/기타계열,식품공학부,91.88,26.25,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,IT/컴퓨터계열,전자공학부(인공지능전공),91.15,26.04,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,AI·컴퓨터,32.65,Y,74.5,70,65.5,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,공학계열,바이오섬유소재학과,90.17,25.76,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,공학계열,스마트생물산업기계공학과,75.17,21.48,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,IT/컴퓨터계열,컴퓨터학부(첨단컴퓨팅연구전공),73.75,21.07,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,AI·컴퓨터,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,건축/토목계열,농업토목공학과,66.67,19.05,시험 2,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,32.65,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경북대,지방,의약보건계열,식물의학과,60.17,17.19,시험 1,34.31,지거국 서술형 - 넓은 출제범위 및 부분점수 극대화 라인 (※과학논술 포함 350점 만점 기준),N,일반학과,36.05,Y,,,,88.0,81.5,88.0,82.0,74.0,69.6,81.0,299.0
경희대,인서울,공학계열,기계공학부,100.0,100.0,시험 2,96.28,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,97.58,Y,,,,94.0,91.1,94.0,95.0,81.0,80.7,88.0,1758.0
경희대,인서울,IT/컴퓨터계열,소프트웨어융합학과,100.0,100.0,시험 2,96.28,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,AI·컴퓨터,97.58,Y,,,,94.0,91.1,94.0,95.0,81.0,80.7,88.0,1758.0
경희대,인서울,건축/토목계열,사회기반시스템공학과,99.5,99.5,시험 2,96.28,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,97.58,Y,,,,94.0,91.1,94.0,95.0,81.0,80.7,88.0,1758.0
경희대,인서울,공학계열,전자공학과,99.4,99.4,시험 2,96.28,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,97.58,Y,82.8,78.5,75.5,94.0,91.1,94.0,95.0,81.0,80.7,88.0,1758.0
경희대,인서울,자연과학계열,응용화학과,99.4,99.4,시험 1,96.28,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,95.29,Y,,,,94.0,91.1,94.0,95.0,81.0,80.7,88.0,1758.0
경희대,인서울,공학계열,융합바이오신소재공학과,99.3,99.3,시험 2,96.28,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,97.58,Y,,,,94.0,91.1,94.0,95.0,81.0,80.7,88.0,1758.0
경희대,인서울,인문사회/기타계열,미래정보디스플레이학부,99.0,99.0,시험 1,96.28,전통 서술형(최저있음) - 최저 통과 시 경쟁률 급감 및 기본 서술 합격 라인,N,일반학과,95.29,Y,,,,94.0,91.1,94.0,95.0,81.0,80.7,88.0,1758.0
